DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800001,10/16/18,8:00 PM,Philadelphia,Boston,240,87,105,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800002,10/16/18,10:30 PM,Oklahoma City,Golden State,240,100,108,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800003,10/17/18,7:00 PM,Milwaukee,Charlotte,240,113,112,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800004,10/17/18,7:00 PM,Brooklyn,Detroit,240,100,103,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800005,10/17/18,7:00 PM,Memphis,Indiana,240,83,111,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800006,10/17/18,7:00 PM,Miami,Orlando,240,101,104,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800007,10/17/18,7:30 PM,Atlanta,New York,240,107,126,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800008,10/17/18,7:30 PM,Cleveland,Toronto,240,104,116,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800009,10/17/18,8:00 PM,New Orleans,Houston,240,131,112,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800010,10/17/18,8:30 PM,Minnesota,San Antonio,240,108,112,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800011,10/17/18,10:00 PM,Utah,Sacramento,240,123,117,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800012,10/17/18,10:30 PM,Denver,LA Clippers,240,107,98,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800013,10/17/18,10:30 PM,Dallas,Phoenix,240,100,121,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800014,10/18/18,8:00 PM,Chicago,Philadelphia,240,108,127,3+,1,Box Score
NBA 2018-2019 Regular Season,0021800015,10/18/18,8:00 PM,Miami,Washington,240,113,112,B2B,3+,Box Score
NBA 2018-2019 Regular Season,0021800016,10/18/18,10:30 PM,LA Lakers,Portland,240,119,128,3+,3+,Box Score
NBA 2018-2019 Regular Season,0021800017,10/19/18,7:00 PM,Charlotte,Orlando,240,120,88,1,1,Box Score
NBA 2018-2019 Regular Season,0021800018,10/19/18,7:30 PM,New York,Brooklyn,240,105,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800019,10/19/18,8:00 PM,Boston,Toronto,240,101,113,2,1,Box Score
NBA 2018-2019 Regular Season,0021800020,10/19/18,8:00 PM,Atlanta,Memphis,240,117,131,1,1,Box Score
NBA 2018-2019 Regular Season,0021800021,10/19/18,8:00 PM,Cleveland,Minnesota,240,123,131,1,1,Box Score
NBA 2018-2019 Regular Season,0021800022,10/19/18,8:00 PM,Sacramento,New Orleans,240,129,149,1,1,Box Score
NBA 2018-2019 Regular Season,0021800023,10/19/18,8:30 PM,Indiana,Milwaukee,240,101,118,1,1,Box Score
NBA 2018-2019 Regular Season,0021800024,10/19/18,10:30 PM,Golden State,Utah,240,124,123,2,1,Box Score
NBA 2018-2019 Regular Season,0021800025,10/19/18,10:30 PM,Oklahoma City,LA Clippers,240,92,108,2,1,Box Score
NBA 2018-2019 Regular Season,0021800026,10/20/18,7:00 PM,Brooklyn,Indiana,240,112,132,3IN4-B2B,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800027,10/20/18,7:00 PM,Toronto,Washington,240,117,113,3IN4-B2B,1,Box Score
