INITIALS,LONG NAME,SHORT NAME,CONFERENCE,DIVISION,NICKNAME
Atl,Atlanta Hawks,Atlanta,East,Southeast,Hawks
Bos,Boston Celtics,Boston,East,Atlantic,Celtics
Bkn,Brooklyn Nets,Brooklyn,East,Atlantic,Nets
Cha,Charlotte Hornets,Charlotte,East,Southeast,Hornets
Chi,Chicago Bulls,Chicago,East,Central,Bulls
Cle,Cleveland Cavaliers,Cleveland,East,Central,Cavaliers
Dal,Dallas Mavericks,Dallas,West,Southwest,Mavericks
Den,Denver Nuggets,Denver,West,Northwest,Nuggets
Det,Detroit Pistons,Detroit,East,Central,Pistons
Gsw,Golden State Warriors,Golden State,West,Pacific,Warriors
Hou,Houston Rockets,Houston,West,Southwest,Rockets
Ind,Indiana Pacers,Indiana,East,Central,Pacers
Lac,Los Angeles Clippers,LA Clippers,West,Pacific,Clippers
Lal,Los Angeles Lakers,LA Lakers,West,Pacific,Lakers
Mem,Memphis Grizzlies,Memphis,West,Southwest,Grizzlies
Mia,Miami Heat,Miami,East,Southeast,Heat
Mil,Milwaukee Bucks,Milwaukee,East,Central,Bucks
Min,Minnesota Timberwolves,Minnesota,West,Northwest,Timberwolves
Nop,New Orleans Pelicans,New Orleans,West,Southwest,Pelicans
Nyk,New York Knicks,New York,East,Atlantic,Knicks
Okc,Oklahoma City Thunder,Oklahoma City,West,Northwest,Thunder
Orl,Orlando Magic,Orlando,East,Southeast,Magic
Phi,Philadelphia 76ers,Philadelphia,East,Atlantic,76ers
Phx,Phoenix Suns,Phoenix,West,Pacifi,Suns
Por,Portland Trailblazers,Portland,West,Northwest,Trailblazers
Sac,Sacramento Kings,Sacramento,West,Pacific,Kings
Sas,San Antonio Spurs,San Antonio,West,Southwest,Spurs
Tor,Toronto Raptors,Toronto,East,Atlantic,Raptors
Uta,Utah Jazz,Utah,West,Northwest,Jazz
Was,Washington Wizards,Washington,East,Southeast,Wizards
