game_id,away_team_id,home_team_id,away_team_rest,home_team_rest
21800001,Philadelphia,Boston,3+,3+
21800002,Oklahoma City,Golden State,3+,3+
21800003,Milwaukee,Charlotte,3+,3+
21800004,Brooklyn,Detroit,3+,3+
21800005,Memphis,Indiana,3+,3+
21800006,Miami,Orlando,3+,3+
21800007,Atlanta,New York,3+,3+
21800008,Cleveland,Toronto,3+,3+
21800009,New Orleans,Houston,3+,3+
21800010,Minnesota,San Antonio,3+,3+
21800011,Utah,Sacramento,3+,3+
21800012,Denver,LA Clippers,3+,3+
21800013,Dallas,Phoenix,3+,3+
21800014,Chicago,Philadelphia,3+,1
21800015,Miami,Washington,B2B,3+
21800016,LA Lakers,Portland,3+,3+
21800017,Charlotte,Orlando,1,1
21800018,New York,Brooklyn,1,1
21800019,Boston,Toronto,2,1
21800020,Atlanta,Memphis,1,1
21800021,Cleveland,Minnesota,1,1
21800022,Sacramento,New Orleans,1,1
21800023,Indiana,Milwaukee,1,1
21800024,Golden State,Utah,2,1
21800025,Oklahoma City,LA Clippers,2,1
21800026,Brooklyn,Indiana,3IN4-B2B,3IN4-B2B
21800027,Toronto,Washington,3IN4-B2B,1
21800028,Boston,New York,B2B,3IN4-B2B
21800029,Orlando,Philadelphia,3IN4-B2B,1
21800030,Charlotte,Miami,3IN4-B2B,3IN4
21800031,Detroit,Chicago,2,1
21800032,Minnesota,Dallas,3IN4-B2B,2
21800033,Phoenix,Denver,2,2
21800034,San Antonio,Portland,2,1
21800035,Houston,LA Lakers,2,1
21800036,Atlanta,Cleveland,1,1
21800037,Sacramento,Oklahoma City,1,1
21800038,Golden State,Denver,1,B2B
21800039,Houston,LA Clippers,B2B,1
21800040,Orlando,Boston,3IN4,3IN4
21800041,Charlotte,Toronto,3IN4,3IN4
21800042,New York,Milwaukee,3IN4,2
21800043,Indiana,Minnesota,3IN4,3IN4
21800044,Chicago,Dallas,1,1
21800045,Memphis,Utah,2,2
21800046,Washington,Portland,1,1
21800047,Phoenix,Golden State,1,3IN4-B2B
21800048,San Antonio,LA Lakers,1,1
21800049,Philadelphia,Detroit,2,2
21800050,LA Clippers,New Orleans,1,3+
21800051,Sacramento,Denver,1,3IN4
21800052,Dallas,Atlanta,1,2
21800053,Brooklyn,Cleveland,3+,2
21800054,New York,Miami,1,3+
21800055,Minnesota,Toronto,1,1
21800056,Charlotte,Chicago,1,1
21800057,Utah,Houston,1,2
21800058,Indiana,San Antonio,1,1
21800059,Philadelphia,Milwaukee,B2B,1
21800060,LA Lakers,Phoenix,1,1
21800061,Memphis,Sacramento,1,3IN4-B2B
21800062,Washington,Golden State,1,3IN4
21800063,Cleveland,Detroit,B2B,1
21800064,Portland,Orlando,2,2
21800065,Boston,Oklahoma City,2,3+
21800066,Denver,LA Lakers,1,3IN4-B2B
21800067,Chicago,Charlotte,1,1
21800068,Golden State,New York,1,1
21800069,Dallas,Toronto,1,1
21800070,LA Clippers,Houston,2,1
21800071,Milwaukee,Minnesota,1,1
21800072,Brooklyn,New Orleans,1,2
21800073,Washington,Sacramento,1,3IN4
21800074,Boston,Detroit,1,1
21800075,Utah,New Orleans,2,B2B
21800076,Chicago,Atlanta,3IN4-B2B,2
21800077,Indiana,Cleveland,2,3IN4
21800078,Charlotte,Philadelphia,3IN4-B2B,2
21800079,Portland,Miami,1,2
21800080,Phoenix,Memphis,2,2
21800081,Orlando,Milwaukee,1,3IN4-B2B
21800082,LA Lakers,San Antonio,3IN4,2
21800083,Golden State,Brooklyn,1,1
21800084,Utah,Dallas,B2B,1
21800085,Phoenix,Oklahoma City,B2B,2
21800086,Washington,LA Clippers,1,1
21800087,Portland,Indiana,1,1
21800088,Atlanta,Philadelphia,1,1
21800089,Sacramento,Miami,2,1
21800090,Brooklyn,New York,3IN4-B2B,2
21800091,Golden State,Chicago,3IN4-B2B,3IN4
21800092,Toronto,Milwaukee,2,3IN4
21800093,LA Lakers,Minnesota,1,2
21800094,Dallas,San Antonio,3IN4-B2B,1
21800095,New Orleans,Denver,3IN4,3+
21800096,Miami,Charlotte,3IN4-B2B,2
21800097,Atlanta,Cleveland,3IN4-B2B,2
21800098,Sacramento,Orlando,B2B,2
21800099,Detroit,Boston,2,2
21800100,Philadelphia,Toronto,3IN4-B2B,B2B
21800101,Portland,Houston,3IN4-B2B,3+
21800102,Washington,Memphis,1,2
21800103,LA Clippers,Oklahoma City,1,1
21800104,Detroit,Brooklyn,B2B,3IN4
21800105,Indiana,New York,1,1
21800106,Denver,Chicago,1,1
21800107,Utah,Minnesota,2,1
21800108,New Orleans,Golden State,1,3IN4
21800109,Dallas,LA Lakers,3IN4,1
21800110,San Antonio,Phoenix,1,2
21800111,Oklahoma City,Charlotte,1,1
21800112,Denver,Cleveland,3IN4-B2B,1
21800113,LA Clippers,Philadelphia,1,3IN4
21800114,Sacramento,Atlanta,3IN4,3IN4
21800115,Milwaukee,Boston,2,1
21800116,New Orleans,Portland,3IN4-B2B,3IN4
21800117,LA Clippers,Orlando,3IN4-B2B,2
21800118,Houston,Brooklyn,2,1
21800119,Oklahoma City,Washington,3IN4-B2B,2
21800120,Indiana,Chicago,1,1
21800121,New York,Dallas,1,1
21800122,Memphis,Utah,2,1
21800123,Toronto,Phoenix,2,1
21800124,Minnesota,Golden State,1,1
21800125,Detroit,Philadelphia,2,1
21800126,Cleveland,Charlotte,1,1
21800127,Boston,Indiana,1,3IN4-B2B
21800128,Miami,Atlanta,3+,1
21800129,Houston,Chicago,B2B,3IN4-B2B
21800130,New Orleans,San Antonio,3IN4,2
21800131,Utah,Denver,3IN4-B2B,3IN4
21800132,LA Lakers,Portland,2,1
21800133,Sacramento,Milwaukee,2,2
21800134,Philadelphia,Brooklyn,3IN4-B2B,1
21800135,New York,Washington,1,1
21800136,Memphis,Phoenix,1,1
21800137,Orlando,San Antonio,1,B2B
21800138,Minnesota,Portland,1,3IN4-B2B
21800139,Toronto,LA Lakers,1,B2B
21800140,Miami,Detroit,1,1
21800141,Houston,Indiana,3IN4,3IN4
21800142,Cleveland,Orlando,1,3IN4-B2B
21800143,Chicago,New York,3IN4,3IN4-B2B
21800144,New Orleans,Oklahoma City,1,2
21800145,Boston,Denver,1,1
21800146,Toronto,Utah,3IN4-B2B,3IN4
21800147,Memphis,Golden State,3IN4-B2B,2
21800148,Minnesota,LA Clippers,3IN4-B2B,2
21800149,Atlanta,Charlotte,2,2
21800150,Washington,Dallas,1,3+
21800151,Brooklyn,Phoenix,1,1
21800152,Milwaukee,Portland,1,3IN4
21800153,Oklahoma City,Cleveland,1,1
21800154,Detroit,Orlando,1,3IN4
21800155,New York,Atlanta,3IN4,B2B
21800156,San Antonio,Miami,2,1
21800157,Philadelphia,Indiana,2,1
21800158,Denver,Memphis,1,3IN4
21800159,Chicago,New Orleans,1,1
21800160,Dallas,Utah,B2B,1
21800161,Toronto,Sacramento,3IN4,2
21800162,Minnesota,LA Lakers,3IN4,2
21800163,Houston,Oklahoma City,2,3IN4-B2B
21800164,Boston,Phoenix,2,1
21800165,LA Clippers,Portland,2,1
21800166,Milwaukee,Golden State,1,2
21800167,Washington,Orlando,2,1
21800168,Charlotte,Philadelphia,2,1
21800169,Detroit,Atlanta,1,3IN4
21800170,Indiana,Miami,1,1
21800171,Brooklyn,Denver,2,1
21800172,Boston,Utah,B2B,1
21800173,Minnesota,Sacramento,1,1
21800174,New York,Toronto,2,2
21800175,Milwaukee,LA Clippers,1,1
21800176,Phoenix,New Orleans,1,2
21800177,Washington,Miami,B2B,3IN4-B2B
21800178,Cleveland,Chicago,2,2
21800179,Philadelphia,Memphis,3IN4-B2B,2
21800180,Houston,San Antonio,1,2
21800181,Oklahoma City,Dallas,3IN4,2
21800182,Brooklyn,Golden State,B2B,1
21800183,LA Lakers,Sacramento,2,3IN4-B2B
21800184,Charlotte,Detroit,1,1
21800185,Indiana,Houston,1,3IN4-B2B
21800186,Orlando,New York,1,B2B
21800187,Milwaukee,Denver,3IN4-B2B,1
21800188,Boston,Portland,3IN4,2
21800189,Atlanta,LA Lakers,1,B2B
21800190,Orlando,Washington,3IN4-B2B,3IN4
21800191,Philadelphia,Miami,3IN4,3IN4
21800192,New Orleans,Toronto,1,1
21800193,Dallas,Chicago,1,1
21800194,Utah,Memphis,2,1
21800195,Brooklyn,Minnesota,3IN4,2
21800196,Phoenix,Oklahoma City,1,1
21800197,San Antonio,Sacramento,1,3IN4
21800198,Golden State,LA Clippers,1,1
21800199,Charlotte,Cleveland,1,2
21800200,Houston,Denver,3IN4,1
21800201,Atlanta,Golden State,1,3IN4-B2B
21800202,Philadelphia,Orlando,1,3IN4
21800203,Cleveland,Washington,B2B,1
21800204,Chicago,Boston,1,2
21800205,Miami,Brooklyn,1,1
21800206,Detroit,Toronto,2,1
21800207,Memphis,Milwaukee,1,2
21800208,New Orleans,Minnesota,1,1
21800209,New York,Oklahoma City,2,1
21800210,Utah,Dallas,1,1
21800211,San Antonio,Phoenix,1,1
21800212,Portland,LA Lakers,2,2
21800213,Golden State,Houston,3IN4,1
21800214,Atlanta,Denver,1,1
21800215,San Antonio,LA Clippers,3IN4-B2B,2
21800216,Toronto,Boston,1,1
21800217,Miami,Indiana,1,3+
21800218,Utah,Philadelphia,1,1
21800219,Brooklyn,Washington,1,1
21800220,Sacramento,Memphis,3+,1
21800221,Portland,Minnesota,1,1
21800222,New York,New Orleans,1,1
21800223,Chicago,Milwaukee,1,1
21800224,LA Clippers,Brooklyn,1,3IN4-B2B
21800225,Philadelphia,Charlotte,3IN4-B2B,3+
21800226,Atlanta,Indiana,1,B2B
21800227,LA Lakers,Orlando,2,2
21800228,Denver,New Orleans,1,3IN4-B2B
21800229,Utah,Boston,3IN4-B2B,3IN4-B2B
21800230,Toronto,Chicago,3IN4-B2B,3IN4-B2B
21800231,Sacramento,Houston,B2B,1
21800232,Golden State,Dallas,1,2
21800233,Oklahoma City,Phoenix,2,2
21800234,Memphis,Minnesota,1,1
21800235,LA Lakers,Miami,B2B,1
21800236,New York,Orlando,1,B2B
