"","scoring_run_bucketed","coach_exp_bucketed","time_since_last_break_bucketed","point_diff_bucketed","treatment","num"
"1","(-11.4,-6.1]","(0.978,3.2]","(275,321]","(-8.8,0]",1,16
"2","(-6.1,-0.8]","(18.6,20.8]","(321,367]","(-8.8,0]",1,13
"3","(-11.4,-6.1]","(3.2,5.4]","(138,184]","(-8.8,0]",1,10
"4","(-6.1,-0.8]","(3.2,5.4]","(321,367]","(0,8.8]",1,9
"5","(-11.4,-6.1]","(20.8,23]","(230,275]","(-8.8,0]",1,8
"6","(-6.1,-0.8]","(18.6,20.8]","(321,367]","(0,8.8]",1,8
"7","(-0.8,4.5]","(16.4,18.6]","(275,321]","(0,8.8]",1,8
"8","(9.8,15.1]","(5.4,7.6]","(184,230]","(0,8.8]",1,8
"9","(-11.4,-6.1]","(0.978,3.2]","(184,230]","(0,8.8]",1,7
"10","(-0.8,4.5]","(14.2,16.4]","(321,367]","(8.8,17.6]",1,7
"11","(4.5,9.8]","(14.2,16.4]","(275,321]","(0,8.8]",1,7
"12","(9.8,15.1]","(9.8,12]","(138,184]","(0,8.8]",1,7
"13","(-11.4,-6.1]","(0.978,3.2]","(275,321]","(-17.6,-8.8]",1,6
"14","(-11.4,-6.1]","(14.2,16.4]","(230,275]","(-8.8,0]",1,6
"15","(-6.1,-0.8]","(7.6,9.8]","(321,367]","(-8.8,0]",1,6
"16","(9.8,15.1]","(0.978,3.2]","(184,230]","(0,8.8]",1,6
"17","(-16.7,-11.4]","(0.978,3.2]","(184,230]","(-17.6,-8.8]",1,5
"18","(-11.4,-6.1]","(0.978,3.2]","(321,367]","(-17.6,-8.8]",1,5
"19","(-11.4,-6.1]","(9.8,12]","(230,275]","(-8.8,0]",1,5
"20","(-6.1,-0.8]","(18.6,20.8]","(275,321]","(0,8.8]",1,5
"21","(-0.8,4.5]","(3.2,5.4]","(321,367]","(-17.6,-8.8]",1,5
"22","(9.8,15.1]","(3.2,5.4]","(184,230]","(0,8.8]",1,5
"23","(-16.7,-11.4]","(0.978,3.2]","(92.4,138]","(-8.8,0]",1,4
"24","(-11.4,-6.1]","(3.2,5.4]","(138,184]","(0,8.8]",1,4
"25","(-11.4,-6.1]","(3.2,5.4]","(230,275]","(-17.6,-8.8]",1,4
"26","(-11.4,-6.1]","(5.4,7.6]","(275,321]","(-17.6,-8.8]",1,4
"27","(-11.4,-6.1]","(9.8,12]","(275,321]","(-17.6,-8.8]",1,4
"28","(-11.4,-6.1]","(16.4,18.6]","(184,230]","(-8.8,0]",1,4
"29","(-11.4,-6.1]","(16.4,18.6]","(230,275]","(-8.8,0]",1,4
"30","(-6.1,-0.8]","(0.978,3.2]","(321,367]","(-26.4,-17.6]",1,4
"31","(-6.1,-0.8]","(3.2,5.4]","(92.4,138]","(17.6,26.4]",1,4
